main-number,frequency,last-drawn
1,89,July 5
2,91,July 23
3,93,August 30
4,86,August 13
5,80,July 9
6,95,August 11
7,84,August 9
8,83,September 1
9,87,August 27
10,83,May 14
11,89,August 23
12,98,August 27
13,66,June 30
14,80,August 23
15,87,August 18
16,95,August 25
17,87,June 16
18,88,August 30
19,93,August 25
20,93,May 10
21,112,July 16
22,84,August 30
23,111,September 1
24,88,August 9
25,81,September 1
26,72,April 28
27,105,August 30
28,99,July 21
29,79,June 18
30,88,June 9
31,88,August 20
32,104,June 21
33,109,August 30
34,78,August 25
35,85,August 2
36,104,August 2
37,101,August 25
38,86,August 4
39,101,May 10
40,93,September 1
41,82,August 27
42,83,July 21
43,88,August 6
44,98,August 13
45,94,August 6
46,75,August 18
47,99,August 23
48,79,July 19
49,71,August 16
50,89,August 13
51,78,August 23
52,94,June 30
53,98,September 1
54,88,July 12
55,82,June 30
56,87,May 31
57,85,July 26
58,82,July 7
59,96,August 20
60,81,August 9
61,114,August 27
62,103,August 20
63,104,August 18
64,104,August 25
65,78,August 20
66,89,May 5
67,93,July 26
68,89,August 20
69,107,August 16
