number,frequency,last-drawn
1,93,2026-05-30
2,101,2026-07-20
3,112,2026-08-24
4,97,2026-08-12
5,93,2026-08-15
6,108,2026-08-10
7,95,2026-07-15
8,96,2026-08-17
9,94,2026-08-08
10,94,2026-08-19
11,98,2026-04-01
12,105,2026-08-26
13,76,2026-08-22
14,94,2026-08-05
15,94,2026-08-17
16,110,2026-08-24
17,99,2026-08-01
18,104,2026-08-29
19,102,2026-06-22
20,101,2026-08-05
21,124,2026-08-19
22,91,2026-07-22
23,116,2026-03-09
24,99,2026-07-25
25,89,2026-08-17
26,82,2026-08-12
27,118,2026-08-15
28,119,2026-06-27
29,92,2026-08-15
30,101,2026-08-03
31,100,2026-08-22
32,117,2026-08-26
33,116,2026-08-24
34,84,2026-06-08
35,92,2026-08-08
36,117,2026-07-29
37,111,2026-08-10
38,96,2026-08-24
39,108,2026-07-01
40,102,2026-07-29
41,91,2026-08-03
42,96,2026-07-29
43,99,2026-07-08
44,110,2026-07-20
45,101,2026-08-26
46,83,2026-07-27
47,112,2026-07-25
48,92,2026-08-03
49,82,2026-08-17
50,102,2026-08-26
51,90,2026-05-27
52,109,2026-05-30
53,113,2026-07-20
54,99,2026-08-22
55,92,2026-08-10
56,100,2026-08-29
57,98,2026-08-22
58,97,2026-08-26
59,111,2026-08-05
60,95,2026-08-05
61,125,2026-08-19
62,113,2026-08-29
63,117,2026-08-15
64,123,2026-08-19
65,92,2026-08-29
66,102,2026-08-12
67,103,2026-08-29
68,98,2026-08-24
69,115,2026-08-12
